Building,Latitude,Longitude
Buckman Hall,29.6507943,-82.34500370432986
Thomas Hall,29.65128955,-82.34600182463444
Newell Hall,29.6490521,-82.34508429227043
Flint Hall,29.65141865,-82.34406063920503
Benton Hall,29.643335399999998,-82.34762986643679
Griffin-Floyd Hall,29.6500738,-82.34378607749713
Anderson Hall,29.65157735,-82.34188595037828
Peabody Hall,29.65010145,-82.34202006498992
Bryan Hall,29.65122365,-82.34053563635342
Institute of Black Culture,29.65240325,-82.34218395660545
University Auditorium,29.64909405,-82.3429183381841
Plaza of the Americas,29.6503997,-82.342679956317
Seagle Building,29.6524021,-82.32885697504275
Walker Hall,29.64943165,-82.34158660516881
Leigh Hall,29.65043515,-82.34427610204754
Rolfs Hall,29.6491806,-82.34450971037039
Smathers Library,29.6508647,-82.34178038648054
Sledd Hall,29.65076745,-82.34550451974026
Florida Pool,29.6502055,-82.34726697506053
Dauer Hall,29.6500399,-82.34501902488101
Norman Gym,29.646232249999997,-82.3379916
Norman Hall,29.646650549999997,-82.33780719624852
Reed Laboratory,29.647993800000002,-82.34812228396609
Fletcher Hall,29.651254199999997,-82.34541469233187
Murphree Hall,29.65119565,-82.3465712594229
Phelps Lab,29.644528700000002,-82.34878948986028
Mechanical Engineering Building C,29.64738095,-82.34950140943008
Rhines Hall,29.647421,-82.34888893430863
Florida Gymnasium,29.64934355,-82.3472722297121
The Hub,29.6542445,-82.3385726
Mallory Hall,29.64680685,-82.340291092658
North Hall,29.647926,-82.35068430898525
Reid Hall,29.64656865,-82.33976288070909
Riker Hall,29.6474994,-82.35112817003017
Tigert Hall,29.6494149,-82.33986780499058
Tolbert Hall,29.64796015,-82.35146394126343
Yulee Hall,29.64612685,-82.34042772855057
Weaver Hall,29.6470214,-82.35074160872063
Weil Hall,29.64834575,-82.34845584848367
Van Fleet Hall,29.648532799999998,-82.35113274155844
Carleton Auditorium,29.64908235,-82.34167807553476
President's House,29.6482057,-82.36086554592126
Broward Hall,29.64654835,-82.34208196787226
Matherly Hall,29.651617799999997,-82.34103508025085
Century Tower,29.648813750000002,-82.34332129988208
Frazier Rogers Hall,29.6447805,-82.3457803
McCarty Hall A,29.6469454,-82.34558042578024
McCarty Hall B,29.6467434,-82.34492274130389
McCarty Hall C,29.64666225,-82.34534461406903
McCarty Hall D,29.6464619,-82.34441802890674
